year,mediation ID,lateral,negotiation ID,conflict locale,conflict sub-locale,locale Gleditsch ID,third_party_type,third_party_locale,third_party,third_party Gleditsch ID,location of neogitations,negotiation location Gleditsch ID,negotiation type,leading actor,leading actor 2,leading actor 3,good offices,mediation,hosting talks,negotiating and drafting,manipulating,humanitarian,witness/party to agreement,other,agreement,peace agreement,ceasfire agreement,agreement name,notes_1,source_1,note_2,source_2,note_3,source_3,note_4,source_4,note_5,source_5,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
2011,95,multilateral,,South Sudan,,SSD,regional,african,AU,,Ethiopia,ETH,R,AU,,,0,1,1,0,0,0,0,0,0,0,0,,"""On 13 June 2011, the African Union High Implementation Panel (AUHIP) held a round of negotiations to tackle remaining contentious issues between Sudan and South Sudan.""",APP,,,,,,,,,,,,,,,,,
2011,96,multilateral,,South Sudan,Abyei,SSD,regional,african,AU,,Ethiopia,ETH,R,AU,,,0,1,1,0,0,0,1,0,1,1,0,Agreement Between The Government of the Republic of Sudan and The Sudan People's Liberation Movement on Temporary Arrangements for the Administration and Security of the Abyei Area,"""On 20 June 2011, the AUHIP facilitated an agreement between the parties on temporary arrangements for Abyei.""",APP,,,,,,,,,,,,,,,,,
2011,97,multilateral,,South Sudan,,SSD,regional,african,AU,,Ethiopia,ETH,R,AU,,,0,1,1,0,0,0,1,0,1,1,0,Agreement on the Joint Political and Security Mechanism and the Joint Position Paper on Border Security,"""On 29 June 2011, following mediation by the AUHIP, the two sides formally signed the Agreement on the Joint Political and Security Mechanism and the Joint Position Paper on Border Security.""",APP,,,,,,,,,,,,,,,,,
2011,98,multilateral,,South Sudan,,SSD,regional,african,AU,,Ethiopia,ETH,R,AU,,,0,1,1,0,0,0,0,0,0,0,0,,"""On 29 July 2011, the AUHIP mediated between Sudan and South Sudan on security arrangement regarding the shared border between the parties.""",APP,,,,,,,,,,,,,,,,,
2011,99,multilateral,,South Sudan,,SSD,regional,african,AU,,Ethiopia,ETH,R,AU,,,0,1,1,0,0,0,1,0,1,1,0,Agreement on the Border Monitoring Support Mission,"""A series of meetings with both conflict parties were held from 30 July to 31 July 2011. Although no progress was made regarding the delineation of the Safe Demilitarized Border Zone, the parties reached the Agreement on the Border Monitoring Support Mission.""",APP,,,,,,,,,,,,,,,,,
2011,107,unilateral,,South Sudan,,SSD,nonstate,african,South Sudan Council of Churches,,Kenya,KEN,N,South Sudan Council of Churches,,,0,1,0,0,0,0,0,0,1,1,0,Peace Agreement,"Fighting soon erupted again. South Sudan became independent on 9 July 2011. This was the result of a referendum held six months earlier, in which an overwhelming majority of the South Sudanese population voted for independence. The Forces of George Athor subsequently renamed themselves into the South Sudan Democratic Movement/Army (SSDM/A). The new regime in Juba was mainly challenged by the SSDM/A led by George Athor in the Jonglei province. A round of negotiations between George Athor and South Sudanese President Salva Kiir on 20 November in Kenya, mediated by the South Sudan Council of Churches, led to the conclusion of a peace agreement. In spite of this agreement, Athor stepped up the SSDM/A’s armed attacks on government targets in early December 2011. Athor was killed on 19 December 2011, reportedly while entering South Sudan from Uganda. Peter Kuol Chol Awan became the new leader of the SSDM/A.",APP,,,,,,,,,,,,,,,,,
2012,108,multilateral,,South Sudan,,SSD,regional,african,IGAD,,,,R,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,"""From December 2011 onwards, tensions over oil payments exacerbated. Sudan took control of the oil flowing from South Sudan as payment for transporting the oil from South Sudan to Port Sudan. South Sudan subsequently unilaterally halted its oil production in January 2012. This escalatory succession of events prompted IGAD to hold a peace conference on 26 January 2012. IGAD Chair Meles Zenawai acted as the chief mediator at this conference. No progress was made at this conference.""",APP,,,,,,,,,,,,,,,,,
2012,109,multilateral,,South Sudan,,SSD,regional,african,AU,,,,G,AU,,,0,1,0,0,0,0,1,0,1,1,0,Memorandum of Understanding on Non-Aggression and Cooperation,"""Another round of negotiations, mediated by the AUHIP with support from the UN, led to the signing of the Memorandum of Understanding on Non-Aggression and Cooperation on 10 February 2012. However, fighting between Sudanese and South Sudanese security forces continued along their border.""",APP,,,,,,,,,,,,,,,,,
2012,109,multilateral,,South Sudan,,SSD,global,international,UN,,,,G,AU,,,0,0,0,0,0,0,0,1,1,1,0,Memorandum of Understanding on Non-Aggression and Cooperation,"""Another round of negotiations, mediated by the AUHIP with support from the UN, led to the signing of the Memorandum of Understanding on Non-Aggression and Cooperation on 10 February 2012. However, fighting between Sudanese and South Sudanese security forces continued along their border.""",APP,The term 'other' refers to the UN's support of the mediation process.,https://www.peaceagreements.org/view/1374,,,,,,,,,,,,,,,
2012,110,multilateral,,South Sudan,,SSD,regional,african,AU,,Ethiopia,ETH,G,AU,,,0,1,0,0,0,0,0,0,0,0,0,,"""With support from the UN Special Envoy, the AUHIP mediated between the conflict parties in March 2012.""",APP,,,,,,,,,,,,,,,,,
2012,110,multilateral,,South Sudan,,SSD,global,international,UN,,Ethiopia,ETH,G,AU,,,0,1,0,0,0,0,0,0,0,0,0,,"""With support from the UN Special Envoy, the AUHIP mediated between the conflict parties in March 2012.""",APP,,,,,,,,,,,,,,,,,
2012,111,multilateral,,South Sudan,,SSD,regional,african,AU,,Ethiopia,ETH,R,AU,,,0,1,0,0,0,0,0,0,1,1,0,Two initial framework agreements,"""A round of negotiations mediated by the AUHIP led to the signing of two initial framework agreement, one on the issue of nationality and another agreement on border demarcation in Addis Ababa on 10 April 2012. With tensions remaining high, South Sudan surrounded Sudan’s largest oilfield in April 2012.""",APP,,,,,,,,,,,,,,,,,
2012,112,multilateral,,South Sudan,,SSD,regional,african,AU,,Ethiopia,ETH,R,AU,,,0,1,0,0,0,0,0,0,0,0,0,,"""The AU Peace and Security Council established a roadmap to peace between the parties on 24 April 2012. This plan officially placed the AUHIP in charge of mediation with the aim to resolve multiple issues of contention such as Abyei, the Safe Demilitarized Border Zone, and oil in the span on three months. The UN Security Council adopted this plan in Resolution 2046 adopted on 2 May 2012.  The conflict parties subsequently engaged in negotiations mediated by AUHIP Chairman Thabo Mbeki in Addis Ababa on 29 May 2012.""",APP,,,,,,,,,,,,,,,,,
2012,113,multilateral,,South Sudan,,SSD,regional,african,AU,,Ethiopia,ETH,R,AU,,,0,1,0,0,0,0,0,0,0,0,0,,"""Another round of negotiations led by the AU was held in Addis Ababa on 22 June 2012.""",APP,,,,,,,,,,,,,,,,,
2012,114,multilateral,,South Sudan,,SSD,regional,african,AU,,Ethiopia,ETH,R,AU,,,0,1,0,0,0,0,0,0,0,0,0,,"""Another meeting led by the AU in Addis Ababa was held on 4 September 2012."" ",APP,,,,,,,,,,,,,,,,,
2012,115,multilateral,,South Sudan,,SSD,regional,african,AU,,Ethiopia,ETH,R,AU,,,0,1,0,1,0,0,0,0,0,0,0,,"""The AUHIP went on to propose its own draft agreement on 21 September 2012. South Sudan accepted this agreement, but Sudan rejected it.""",APP,,,,,,,,,,,,,,,,,
2012,116,multilateral,,South Sudan,,SSD,regional,african,AU,,Ethiopia,ETH,R,AU,,,0,1,0,1,0,0,1,0,1,1,0,Cooperation Agreement,"""The Presidents of both countries attended a round of negotiations mediated by AUHIP in Addis Ababa from 23 to 27 September 2012. This culminated in the signing of the Cooperation Agreement and eight other agreements. This re-opened food trade between the countries and Sudan released 19 South Sudanese prisoners. On 27 September 2012, Sudan and South Sudan signed the Implementation Modalities for Security Arrangements, which was aimed facilitating the implementation of the Agreement on Security Arrangements.""",APP,,https://ucdpged.uu.se/peaceagreements/fulltext/SD_120927_Cooperation%20Agreement%20between%20Sudan%20and%20South%20Sudan.pdf,,,,,,,,,,,,,,,
2012,116,multilateral,,South Sudan,,SSD,state,african,Ethiopia,ETH,Ethiopia,ETH,R,AU,,,0,0,1,0,0,0,1,0,1,1,0,Cooperation Agreement,"The Ethiopian Prime Minister, Haile Mariam Dessalegne, signed the Cooperation Agreement on 27 September 2012 as a witness to the agreement. Addis Ababa played host to these negotiations.",https://ucdpged.uu.se/peaceagreements/fulltext/SD_120927_Cooperation%20Agreement%20between%20Sudan%20and%20South%20Sudan.pdf,,,,,,,,,,,,,,,,,
2012,117,multilateral,,South Sudan,,SSD,regional,african,AU,,Ethiopia,ETH,R,AU,,,0,1,0,1,0,0,1,0,1,1,0,Implementation Modalities for Security Arrangements,"""The Presidents of both countries attended a round of negotiations mediated by AUHIP in Addis Ababa from 23 to 27 September 2012. This culminated in the signing of the Cooperation Agreement and eight other agreements. This re-opened food trade between the countries and Sudan released 19 South Sudanese prisoners. On 27 September 2012, Sudan and South Sudan signed the Implementation Modalities for Security Arrangements, which was aimed facilitating the implementation of the Agreement on Security Arrangements.""",https://www.peaceau.org/uploads/sudan-south-sudan-implementation-modalities-for-security-080313.pdf,,,,,,,,,,,,,,,,,
2012,118,multilateral,,South Sudan,,SSD,global,international,UN,,South Sudan,SSD,G,AU,,,0,1,0,0,0,0,0,1,0,0,0,,"""To implement this agreement, the Joint Political and Security Mechanism convened in Juba from 5 to 7 November 2012.""",APP,The term 'other' refers to the convening of meetings of the Joint Political and Security Mechanism.,https://www.radiotamazuj.org/en/news/article/sudan-south-sudan-security-talks-underway-in-khartoum,,,,,,,,,,,,,,,
2012,118,multilateral,,South Sudan,,SSD,regional,african,AU,,South Sudan,SSD,G,AU,,,0,0,0,0,0,0,0,1,0,0,0,,"""To implement this agreement, the Joint Political and Security Mechanism convened in Juba from 5 to 7 November 2012.""",APP,The term 'other' refers to the convening and supporting of meetings of the Joint Political and Security Mechanism.,https://www.radiotamazuj.org/en/news/article/sudan-south-sudan-security-talks-underway-in-khartoum,,,,,,,,,,,,,,,
2012,119,multilateral,,South Sudan,Abyei,SSD,global,international,UN,,,,G,AU,,,0,0,0,0,0,0,0,1,0,0,0,,"""The mechanism met once again on 19 December 2012, with support from AUHIP and the UN. At this meeting, the countries worked with the Force Commander of the United Nations Interim Security Force for Abyei (UNISFA) to create an implementation matrix.""",APP,The term 'other' refers to the convening and supporting of meetings of the Joint Political and Security Mechanism.,,,,,,,,,,,,,,,,
2012,119,multilateral,,South Sudan,,SSD,regional,african,AU,,,,G,AU,,,0,0,0,0,0,0,0,1,0,0,0,,"""The mechanism met once again on 19 December 2012, with support from AUHIP and the UN. At this meeting, the countries worked with the Force Commander of the United Nations Interim Security Force for Abyei (UNISFA) to create an implementation matrix.""",APP,The term 'other' refers to the convening and supporting of meetings of the Joint Political and Security Mechanism.,,,,,,,,,,,,,,,,
2013,123,multilateral,,South Sudan,,SSD,regional,african,AU,,Ethiopia,ETH,R,AU,,,0,1,1,0,0,0,0,0,0,0,0,,"""The African Union High Implementation Panel (AUHIP) mediated between South Sudan and Sudan in Addis Ababa from 3 to 5 January 2013.  The conflict parties agreed that the implementation of previously concluded agreements needed to be sped up.""",APP,,,,,,,,,,,,,,,,,
2013,124,multilateral,,South Sudan,,SSD,regional,african,AU,,Ethiopia,ETH,R,AU,,,0,1,1,0,0,0,0,1,0,0,0,,"""From 13 to 18 January 2013, the Presidents of both countries attended a summit facilitated by the AUHIP. This effort did not result in any peace agreement, but the parties agreed to the implementation matrix put together in December 2012.""",APP,The term 'other' refers to the convening of a summit.,,,,,,,,,,,,,,,,
2013,125,multilateral,,South Sudan,,SSD,regional,african,AU,,Ethiopia,ETH,R,AU,,,0,1,1,0,0,0,0,0,0,0,0,,"""Sudan and South Sudan engaged in negotiations mediated by the AUHIP on 12 March 2013. The conflict parties agreed to resume oil production and create the demilitarized zone.""",APP,,,,,,,,,,,,,,,,,
2013,126,multilateral,,South Sudan,,SSD,regional,african,AU,,South Sudan,SSD,R,AU,,,0,0,0,0,0,0,0,1,0,0,0,,"""A major milestone was reached the following month when Sudanese President Omar al-Bashir visited South Sudanese President Kiir Mayardit for the first time in the new country. During this visit, on 12 April 2013, the two sides agreed to create a joint high-level committee.""",APP,The African Union supported the meeting between the leaders of Sudan and South Sudan.,https://sudantribune.com/article45366/,,,,,,,,,,,,,,,
