year,mediation ID,negotiation ID,conflict locale,conflict sub-locale,locale Gleditsch ID,third_party,third-party Gleditsch ID,location of neogitations,negotiation location Gleditsch ID,negotiation type,leading actor,leading actor 2,leading actor 3,good offices,mediation,hosting talks,negotiating and drafting,manipulating,humanitarian,witness/party to agreement,other,agreement,peace agreement,ceasfire agreement,agreement name,notes_1,source_1,note_2,source_2,note_3,source_3,note_4,source_4,note_5,source_5,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
1988,1,,Sudan,,SUD,Ethiopia,ETH,Ethiopia,ETH,S,Ethiopia,,,0,1,1,1,0,0,0,0,1,1,0,DUP-SPLM/A Sudan Peace Agreement,"""Negotiations between the Sudanese government and the Sudan People’s Liberation Movement/Army (SPLM/A) took place for the first time on 31 July 1986, when John Garang and Prime Minister Sadiq al-Mahdi met for talks in which the two key demands of the SLPM/A were discussed: the suspension of the Sharia and the termination of military pacts with Libya and Egypt. However, on 16 August 1986, the peace talks were suspended due to the SPLM/A bombing a civil airplane, which resulted in the death of 60 passengers. Egypt – in spite of its military support to the Government of Sudan – managed to facilitate contacts between the Democratic Unionist Party (DUP) and SPLM/A in the mid-1988. The DUP was one of the three parties in Khartoum’s ruling coalition. Ethiopia subsequently offered to host talks in Addis Ababa between the DUP and the SPLM/A. This led to the signing of what has been referred to as the DUP-SPLM/A Sudan Peace Agreement on 16 November 1988 by DUP leader Mohamed Osman al-Mirghani and SPLM/A leader John Garang de Mabior. However, the agreement soon collapsed as a result of an internal power struggle within the Government of Sudan. The opposition in the coalition government, the National Islamic Front (NIF), did not accept the peace agreement, as it wished to maintain Islamic law and refused to abrogate military pacts with Egypt and Libya. The NIF denounced the talks as a conspiracy to block Islamic law. Prime Minister Sadiq al-Mahdi voted down a DUP amendment to recognise the terms of the DUP-SPLM/A Sudan Peace Agreement. Consequently, the DUP resigned from government on 27 December 1988. In March 1989, a new Government assumed power, which proposed a peace plan that was based on the peace deal that was reached between SPLM/A and DUP in November 1988, calling for a freeze on Islamic laws. The UN became involved in April 1989, trying to make both parties accept a ceasefire.""",APP,,,,,,,,,,,,,,,,,
1989,2,,Sudan,,SUD,UN,,,,G,UN,,,0,1,0,0,0,0,0,0,0,0,0,,"""Negotiations between the Sudanese government and the Sudan People’s Liberation Movement/Army (SPLM/A) took place for the first time on 31 July 1986, when John Garang and Prime Minister Sadiq al-Mahdi met for talks in which the two key demands of the SLPM/A were discussed: the suspension of the Sharia and the termination of military pacts with Libya and Egypt. However, on 16 August 1986, the peace talks were suspended due to the SPLM/A bombing a civil airplane, which resulted in the death of 60 passengers. Egypt – in spite of its military support to the Government of Sudan – managed to facilitate contacts between the Democratic Unionist Party (DUP) and SPLM/A in the mid-1988. The DUP was one of the three parties in Khartoum’s ruling coalition. Ethiopia subsequently offered to host talks in Addis Ababa between the DUP and the SPLM/A. This led to the signing of what has been referred to as the DUP-SPLM/A Sudan Peace Agreement on 16 November 1988 by DUP leader Mohamed Osman al-Mirghani and SPLM/A leader John Garang de Mabior. However, the agreement soon collapsed as a result of an internal power struggle within the Government of Sudan. The opposition in the coalition government, the National Islamic Front (NIF), did not accept the peace agreement, as it wished to maintain Islamic law and refused to abrogate military pacts with Egypt and Libya. The NIF denounced the talks as a conspiracy to block Islamic law. Prime Minister Sadiq al-Mahdi voted down a DUP amendment to recognise the terms of the DUP-SPLM/A Sudan Peace Agreement. Consequently, the DUP resigned from government on 27 December 1988. In March 1989, a new Government assumed power, which proposed a peace plan that was based on the peace deal that was reached between SPLM/A and DUP in November 1988, calling for a freeze on Islamic laws. The UN became involved in April 1989, trying to make both parties accept a ceasefire.""",APP,,,,,,,,,,,,,,,,,
1989,3,,Sudan,,SUD,UN,,,,G,UN,,,0,1,0,0,0,1,0,0,1,0,1,Ceasefire,"""At a meeting on 1 May 1989, the UN managed to convince the conflict parties observe a “month of tranquility” to allow aid to reach the area where people are threatened with famine. This ceasefire was later extended for another two weeks. The Government of Sudan subsequently accepted the DUP-SPLM/A Sudan Peace Agreement, after which it was also ratified by the parliament.""",APP,,,,,,,,,,,,,,,,,
1990,4,,Sudan,,SUD,United States of America,USA,Sudan,SUD,S,United States of America,,,1,0,0,1,0,0,0,0,0,0,0,,"""Following the collapse of the Carter initiative, Kenyan President Daniel arap Moi invited Bashir and Garang to his Presidential retreat in Nakuru for peace talks. Both Bashir and Garang accepted the invitation and the meeting was set for 27 February 1990. However, at the last minute Garang decided not to go, so only Bashir showed up.  Similarly, Zaire and Egypt mediated in 1990, but could not bring the conflict parties to the negotiation table. The Government of Sudan took the initiative in March 1990 to request the US to mediate. The US subsequently initiated a mediation effort. In order to move the conflict parties towards a peace settlement, US Assistant Secretary of State for African Affairs Herman Cohen began to shuttle between the conflict parties in March 1990. Cohen formulated a proposal that stipulated the conclusion of a ceasefire, withdrawal of troops, followed by a constitutional conference that would decide on a federal system. With regard to the withdrawal of troops, Cohen proposed the complete evacuation of the national army to positions north of the 11th parallel, while the SPLM/A had to guarantee that it would not take control of southern Sudan militarily if the government forces would withdraw. With neither conflict party agreeing to this proposal, Cohen subsequently formulated a new proposal, which stipulated that half of the government forces would be pulled out from southern Sudan, while the SPLM/A would in exchange withdraw all its troops 15 kilometres from the besieged towns. Moreover, the withdrawal of troops would be internationally monitored. Cohen also proposed to hold a constitutional conference . Cohen personally presented the adapted proposal to President al-Bashir in Khartoum on 9 March 1990. While al-Bashir promised Cohen to study the proposal carefully, he soon conveyed that he rejected the possibility of a constitutional conference, preferring bilateral talks with John Garrang. The Government of Sudan also refused to withdraw from some garrison towns in areas controlled by the rebels including some oil fields.  This terminated his round of shuttle talks in March 1990. In May, Cohen again tried to imitate a peace conference, but the government side officially rejected this option on 4 June 1990.""",APP,,,,,,,,,,,,,,,,,
1991,5,,Sudan,,SUD,OAU,,Sudan,SUD,R,OAU,,,1,0,0,0,0,0,0,0,0,0,0,,"""The mediation efforts of the US continued in early January 1991. Yet, diplomatic relations between the US and Sudan severely deteriorated due to the US military action against Iraq on 17 January 1991. As a result, the Sudanese-American dialogue felt silent. In March 1991, the Secretary-General of the Organization of African Unity (OAU) Salim Ahmed Salim offered his good offices to restart the peace process. Salim shuttled between the conflict parties and his efforts led to the conflict parties accepting mediation by the Organization of African Unity and Nigeria. Nigerian President Ibrahim Babangida, who assumed Organization of African Unity Chairmanship on 3 June 1991, acted as the chief mediator of these negotiations. In spite of separate consultations, Nigeria and the Organization of African Unity did not mediate any direct peace talks between the conflict parties in 1991. Although the negotiations were set to take place in the fall of 1991, they were postponed until May 1992 because of divisions within the ranks of the SPLM/A.""",APP,,,,,,,,,,,,,,,,,
1991,5,,Sudan,,SUD,Nigeria,NIG,Sudan,SUD,R,OAU,,,1,0,0,0,0,0,0,0,0,0,0,,"""The mediation efforts of the US continued in early January 1991. Yet, diplomatic relations between the US and Sudan severely deteriorated due to the US military action against Iraq on 17 January 1991. As a result, the Sudanese-American dialogue felt silent. In March 1991, the Secretary-General of the Organization of African Unity Salim Ahmed Salim offered his good offices to restart the peace process. Salim shuttled between the conflict parties and his efforts led to the conflict parties accepting mediation by the Organization of African Unity and Nigeria. Nigerian President Ibrahim Babangida, who assumed Organization of African Unity Chairmanship on 3 June 1991, acted as the chief mediator of these negotiations. In spite of separate consultations, Nigeria and the Organization of African Unity did not mediate any direct peace talks between the conflict parties in 1991. Although the negotiations were set to take place in the fall of 1991, they were postponed until May 1992 because of divisions within the ranks of the SPLM/A.""",APP,,,,,,,,,,,,,,,,,
1992,6,,Sudan,,SUD,OAU,,Nigeria,NIG,R,Nigeria,,,0,1,1,0,0,0,0,0,1,1,0,Communique of the Abuja Sudanese Peace Conference,"""The first phase of what came to be known as the Abuja peace talks started on 26 May 1992 and ended on 4 June 1992 without any progress made. The talks were hosted by the Nigerian president Ibrahim Babangida in his capacity as chair of the Organization of African Unity. Talks focus particularly on issues related to national identity, religion and state, self-determination, and interim security arrangements. The Nigerian mediators suggested to the conflict parties that an effective ceasefire would require a neutral observer team that would ensure all the parties complied with the peace agreement. Although the SPLM/A agreed, the Government of Sudan insisted that such a team would constitute “foreign intervention in the affairs of Sudan.” The first phase of the Abuja negotiations ended with the adoption of the Communique of the Abuja Sudanese Peace Conference.""",APP,,,,,,,,,,,,,,,,,
1992,6,,Sudan,,SUD,Nigeria,NIG,Nigeria,NIG,R,Nigeria,,,0,1,0,0,0,0,0,0,1,1,0,Communique of the Abuja Sudanese Peace Conference,"""The first phase of what came to be known as the Abuja peace talks started on 26 May 1992 and ended on 4 June 1992 without any progress made. The talks were hosted by the Nigerian president Ibrahim Babangida in his capacity as chair of the Organization of African Unity. Talks focus particularly on issues related to national identity, religion and state, self-determination, and interim security arrangements. The Nigerian mediators suggested to the conflict parties that an effective ceasefire would require a neutral observer team that would ensure all the parties complied with the peace agreement. Although the SPLM/A agreed, the Government of Sudan insisted that such a team would constitute “foreign intervention in the affairs of Sudan.” The first phase of the Abuja negotiations ended with the adoption of the Communique of the Abuja Sudanese Peace Conference.""",APP,,,,,,,,,,,,,,,,,
1993,7,,Sudan,,SUD,Nigeria,NIG,Nigeria,NIG,R,Nigeria,,,1,0,1,0,0,0,0,0,1,0,0,,"""Nigeria hosted the Abuja II talks, which broke down due to Khartoum’s overly inflexible stance.""","https://onlinelibrary.wiley.com/doi/full/10.1111/nana.12648
",,,,,,,,,,,,,,,,,
1993,7,,Sudan,,SUD,IGAD,,Nigeria,NIG,R,Nigeria,,,1,1,0,1,0,0,0,0,1,0,0,,"""Nigeria hosted the Abuja II talks, which broke down due to Khartoum’s overly inflexible stance.""","https://onlinelibrary.wiley.com/doi/full/10.1111/nana.12648
",,,,,,,,,,,,,,,,,
